,baths,beds,city,latitude,longitude,price,sale_date,sq__ft,state,street,type,zip
0,1,2,SACRAMENTO,38.631913,-121.434879,59222,Wed May 21 00:00:00 EDT 2008,836,CA,3526 HIGH ST,Residential,95838
1,1,3,SACRAMENTO,38.47890200000001,-121.431028,68212,Wed May 21 00:00:00 EDT 2008,1167,CA,51 OMAHA CT,Residential,95823
2,1,2,SACRAMENTO,38.618305,-121.44383899999998,68880,Wed May 21 00:00:00 EDT 2008,796,CA,2796 BRANCH ST,Residential,95815
3,1,2,SACRAMENTO,38.616835,-121.439146,69307,Wed May 21 00:00:00 EDT 2008,852,CA,2805 JANETTE WAY,Residential,95815
4,1,2,SACRAMENTO,38.51947,-121.435768,81900,Wed May 21 00:00:00 EDT 2008,797,CA,6001 MCMAHON DR,Residential,95824
5,1,3,SACRAMENTO,38.662595,-121.327813,89921,Wed May 21 00:00:00 EDT 2008,1122,CA,5828 PEPPERMILL CT,Condo,95841
6,2,3,SACRAMENTO,38.681659,-121.351705,90895,Wed May 21 00:00:00 EDT 2008,1104,CA,6048 OGDEN NASH WAY,Residential,95842
7,1,3,SACRAMENTO,38.535092,-121.481367,91002,Wed May 21 00:00:00 EDT 2008,1177,CA,2561 19TH AVE,Residential,95820
8,2,2,RANCHO CORDOVA,38.621188,-121.270555,94905,Wed May 21 00:00:00 EDT 2008,941,CA,11150 TRINITY RIVER DR Unit 114,Condo,95670
9,2,3,RIO LINDA,38.700909,-121.442979,98937,Wed May 21 00:00:00 EDT 2008,1146,CA,7325 10TH ST,Residential,95673
